time_stamp_sec,position_x,position_y,heading_angle,velocity_x,velocity_y,omega,duty_cycle,delta,erpm
1704705681.3873286,0.9221675992012024,-1.3361376523971558,4.657878700886862,71.77586092582608,-55.54710434852855,-0.00012774933202379176,0.0,0.0,0.0
1704705681.404137,0.9221925735473633,-1.3361401557922363,4.657866819694337,72.63859499559052,-56.215077338760686,-0.00022837752091428164,0.0,0.0,0.0
1704705681.4204183,0.922204852104187,-1.3361406326293945,4.6578362623797815,73.64883879925844,-56.997955222340465,-0.0005115491499890945,0.0,0.0,0.0
1704705681.4371805,0.9221745133399963,-1.3361423015594482,4.657812976831889,74.18759922763151,-57.41590270105765,-0.0006636629451002076,0.0,0.0,0.0
1704705681.4538112,0.9221751093864441,-1.3361433744430542,4.657822751993632,74.63342958636086,-57.761549997049286,-0.0004481097015279615,0.0,0.0,0.0
1704705681.470352,0.9221732020378113,-1.3361402750015259,4.657849335665202,75.19892232820492,-58.1991423176088,-9.214327901724029e-05,0.0,0.0,0.0
1704705681.4868064,0.9221677780151367,-1.3361386060714722,4.657837096844808,75.66661563460886,-58.56127169367239,-0.0002044857896902505,0.0,0.0,0.0
1704705681.5036469,0.9221727848052979,-1.336134433746338,4.657834235821859,75.76098452431265,-58.63458423365589,-0.0001985021179023835,0.0,0.0,0.0
1704705681.5201807,0.9221951365470886,-1.3361291885375977,4.657821639373597,76.13133749984864,-58.92200393120993,-0.00029622473090923774,0.0,0.0,0.0
1704705681.5369668,0.922187864780426,-1.3361397981643677,4.657860819493429,76.1936301428138,-58.96986863190328,0.00015804969393993915,0.0,0.0,0.0
1704705681.5532463,0.9221948981285095,-1.3361400365829468,4.657851719850993,76.53971037002448,-59.237695150316355,3.50422948243212e-05,0.0,0.0,0.0
1704705681.570156,0.9221780896186829,-1.3361374139785767,4.657850050920939,76.43597354880842,-59.15726676789305,1.1943301589836865e-05,0.0,0.0,0.0
1704705681.586819,0.9221563935279846,-1.3361319303512573,4.657831811899638,76.59098949349881,-59.27731679780106,-0.00017984736939291747,0.0,0.0,0.0
1704705681.603382,0.9221674203872681,-1.3361364603042603,4.657843136782145,76.81832074450976,-59.45316486464193,-3.0110996662208894e-05,0.0,0.0,0.0
1704705681.6203206,0.9221649169921875,-1.336143970489502,4.657819016769227,76.66622859279639,-59.33580227848954,-0.0002712861096736492,0.0,0.0,0.0
1704705681.6373053,0.9221650958061218,-1.3361377716064453,4.657792909934815,76.44606862519454,-59.16628683575778,-0.0004891944265502089,0.0,0.0,0.0
1704705681.6537347,0.9221787452697754,-1.3361445665359497,4.6578005393293465,76.69806172869647,-59.36200543550538,-0.0003247618385455772,0.0,0.0,0.0
