time_stamp_sec,position_x,position_y,heading_angle,velocity_x,velocity_y,omega,duty_cycle,delta,erpm
1704705494.5872388,0.8067262172698975,1.697418451309204,4.771116439496176,-93.83731560026831,-51.541282760105375,0.0015210288422840856,0.0,0.0,0.0
1704705494.603548,0.8067113161087036,1.6974271535873413,4.771001362795329,-94.89431547066322,-52.12168441780153,5.2423392732706174e-05,0.0,0.0,0.0
1704705494.6206098,0.8067224025726318,1.6974208354949951,4.7710564772235315,-95.15169520482577,-52.264261004584824,0.0006003075233212418,0.0,0.0,0.0
1704705494.64578,0.8067161440849304,1.69744074344635,4.770992302889323,-90.03225872600338,-49.451913727438274,5.5917069359113884e-05,0.0,0.0,0.0
1704705494.662153,0.8067076206207275,1.6974294185638428,4.771028463040487,-91.9400958217367,-50.50010541892747,0.0004294539243406091,0.0,0.0,0.0
1704705494.6791883,0.8067103028297424,1.6974586248397827,4.77093997001121,-92.76877253478125,-50.953447016413875,-0.0005421474690982901,0.0,0.0,0.0
1704705494.6963198,0.8067169785499573,1.697465419769287,4.770851198826925,-93.45522032184059,-51.327087439025604,-0.0013487792585629085,0.0,0.0,0.0
1704705494.7210402,0.8067270517349243,1.6974142789840698,4.770864788685934,-88.79655519336724,-48.767010211399835,-0.0010211438611828602,0.0,0.0,0.0
1704705494.7374532,0.8067152500152588,1.6974666118621826,4.770864828422364,-90.85460789890105,-49.89496148606316,-0.0008443781508322572,0.0,0.0,0.0
1704705494.7624407,0.806706428527832,1.6974685192108154,4.770829780891236,-86.5336499334889,-47.520185798666745,-0.0009404232694432207,0.0,0.0,0.0
1704705494.7794554,0.8067188262939453,1.697426438331604,4.770850523307618,-88.72643398600611,-48.7227870640075,-0.0005622478617557844,0.0,0.0,0.0
1704705494.7963402,0.806715726852417,1.6974705457687378,4.77087388832837,-89.87467598528437,-49.35236079735199,-0.00023154738448571266,0.0,0.0,0.0
1704705494.8208086,0.8067160844802856,1.6974495649337769,4.770915849998292,-85.97742839557162,-47.21244084678242,0.00010451854906489859,0.0,0.0,0.0
1704705494.837187,0.8067092895507812,1.6974462270736694,4.7708777030256355,-88.52199539714563,-48.609006621583866,-0.0003162708923270042,0.0,0.0,0.0
1704705494.8538342,0.806693434715271,1.697483777999878,4.7707712093936365,-90.24766444801763,-49.55331827116454,-0.0013613473526297457,0.0,0.0,0.0
1704705494.8706262,0.8067197203636169,1.6974157094955444,4.770897134139832,-91.61156740793861,-50.302956382291974,0.00016936970754460661,0.0,0.0,0.0
1704705494.8874621,0.8067014813423157,1.6974457502365112,4.770904366170065,-92.74018369839487,-50.92308923835459,0.0002145296460540594,0.0,0.0,0.0
1704705494.9037278,0.806708812713623,1.6974214315414429,4.771059974029359,-94.11485632829988,-51.68199509389388,0.0018203235999877726,0.0,0.0,0.0
1704705494.920486,0.8067273497581482,1.6974557638168335,4.770990912114279,-94.93461600825782,-52.133911077568506,0.0007901906767815679,0.0,0.0,0.0
1704705494.937255,0.8066985607147217,1.6974303722381592,4.771073285733358,-95.42622583590162,-52.40693941062943,0.0014981870850468036,0.0,0.0,0.0
1704705494.9537792,0.8066982626914978,1.6974585056304932,4.771114214256104,-96.1443996719663,-52.80468429448174,0.0016667806378956203,0.0,0.0,0.0
1704705494.970575,0.8066918253898621,1.6974170207977295,4.771154427523112,-96.48760245506634,-52.99690343387431,0.0017926842152002805,0.0,0.0,0.0
1704705494.9876864,0.8066843748092651,1.6974880695343018,4.770949188862936,-96.71276967961671,-53.118691341109226,-0.0006209196259691339,0.0,0.0,0.0
1704705495.003763,0.8066874146461487,1.6974444389343262,4.770869557057516,-97.46861239651757,-53.530671337899996,-0.0013575578132578553,0.0,0.0,0.0
1704705495.0209787,0.8067249059677124,1.6974307298660278,4.770914657905396,-97.16475900949106,-53.362761138424155,-0.0006705979186835356,0.0,0.0,0.0
1704705495.0458252,0.8067091107368469,1.6974895000457764,4.7709380626625775,-91.8373367648678,-50.43639041535339,-0.0003920812073560678,0.0,0.0,0.0
1704705495.0621028,0.8067213296890259,1.6974173784255981,4.771058384572164,-93.43302355578085,-51.3152279948347,0.0009506948041211046,0.0,0.0,0.0
1704705495.0795283,0.8067204356193542,1.6974612474441528,4.770921095207032,-94.06416829892595,-51.66059185001187,-0.0006107901289448496,0.0,0.0,0.0
1704705495.0969243,0.8068199157714844,1.6974421739578247,4.7706606229093635,-94.17660016699554,-51.7168852328266,-0.0030912339566202167,0.0,0.0,0.0
1704705495.1206782,0.8067224025726318,1.69740891456604,4.770626091951823,-89.65512338158588,-49.229562234173486,-0.0028034972307425707,0.0,0.0,0.0
