time_stamp_sec,position_x,position_y,heading_angle,velocity_x,velocity_y,omega,duty_cycle,delta,erpm
1704799725.8902943,0.3793996075789134,-0.7942753434181213,4.688613239918844,-0.00043829733510099896,-2.501948331281174e-06,-4.281416807931594e-05,0.0,0.0,0.0
1704799725.9070072,0.3794044554233551,-0.794292132059733,4.6885947227425335,-0.00019047974192477185,-5.6241164536461366e-05,-0.00022663597150105518,0.0,0.0,0.0
1704799725.9248204,0.37939542531967163,-0.7943047682444254,4.688626670832133,-3.288441304200791e-05,3.818268383749968e-05,0.00012260548400383852,0.0,0.0,0.0
1704799725.949199,0.37938956419626874,-0.7943244179089864,4.688627068196432,0.00011290893193899903,6.978144177048932e-05,0.00010424646479274592,0.0,0.0,0.0
1704799725.9656475,0.3793934186299642,-0.7943403124809265,4.688652817402975,0.0002589697276888939,1.3396633382460655e-05,0.0003560792031634804,0.0,0.0,0.0
1704799725.9824357,0.37940065066019696,-0.7943543195724487,4.688617332771119,0.0003560387446766407,-6.64487060861173e-05,-6.918668179913933e-05,0.0,0.0,0.0
1704799725.9989457,0.37940234939257306,-0.7943653265635172,4.688616458569662,0.0004096565059606683,-7.5549904955278e-05,-6.641658481591162e-05,0.0,0.0,0.0
1704799726.0157897,0.3793962101141612,-0.7943659623463949,4.688602749501364,0.00034690930655417284,1.480355336900169e-07,-0.00019523200120298762,0.0,0.0,0.0
1704799726.0325723,0.37938963373502094,-0.7943687041600546,4.688622379297709,0.0003168099780270563,6.709627691349056e-05,4.045136696769749e-05,0.0,0.0,0.0
1704799726.0495408,0.37938767671585083,-0.7943610350290934,4.688630763684408,0.00018453881038684212,7.727591970951216e-05,0.00011880031380256607,0.0,0.0,0.0
1704799726.0742528,0.3793957829475403,-0.7943552732467651,4.6886155048953455,0.00011103043052251897,8.202692055240168e-06,-8.449348314660927e-06,0.0,0.0,0.0
1704799726.0907052,0.3794069091478984,-0.794351319471995,4.68860092162559,4.7661375024421744e-05,-0.00010879097334910255,-0.00015981372275455404,0.0,0.0,0.0
1704799726.107136,0.3794085383415222,-0.7943452199300131,4.688585940991537,-2.5116177928951827e-05,-0.00010560789787547339,-0.00028978598969330146,0.0,0.0,0.0
1704799726.1248877,0.3793990910053253,-0.7943408687909445,4.688609266275859,-6.088933267085345e-05,5.467687779998109e-06,-1.294669305641641e-05,0.0,0.0,0.0
1704799726.1491518,0.3793882330258687,-0.7943291068077087,4.6886386712339485,-0.00013234068081502358,8.387752064857739e-05,0.00019885914927960375,0.0,0.0,0.0
1704799726.165441,0.3793856104214986,-0.7943232854207357,4.688638830179667,-0.00017038462874539536,9.858686239239313e-05,0.00016619843543925363,0.0,0.0,0.0
1704799726.1825101,0.37939204772313434,-0.7943184574445089,4.688641889884766,-0.00019127816819124215,1.7688571856081962e-05,0.0001684154946757657,0.0,0.0,0.0
1704799726.2077715,0.37939881285031635,-0.7943175633748373,4.688629531855082,-0.00016548752406484474,-3.166702167907709e-05,5.446162672713599e-05,0.0,0.0,0.0
1704799726.2245605,0.37939701477686566,-0.794318417708079,4.688629531855082,-0.00012768156919585837,-7.912253565836315e-06,4.505638939104397e-05,0.0,0.0,0.0
1704799726.2497427,0.3793946107228597,-0.7943212191263834,4.688618405654725,-8.605329058918458e-05,9.463316268796594e-06,-3.8949346154955986e-05,0.0,0.0,0.0
1704799726.2662866,0.37939319014549255,-0.7943247755368551,4.68859841823051,-3.3718591537273535e-05,2.1773388071532404e-05,-0.00024090578546624345,0.0,0.0,0.0
1704799726.2903996,0.37939823667208356,-0.7943319280942281,4.68859297433962,2.246440934183935e-05,-1.934444763781202e-05,-0.0002382978424162524,0.0,0.0,0.0
