time_stamp_sec,position_x,position_y,heading_angle,velocity_x,velocity_y,omega,duty_cycle,delta,erpm
1704705400.1954358,0.7415054440498352,1.7318594455718994,4.79463496207664,-85.43242509545955,-45.253101118513484,-0.005664063553344153,0.0,0.0,0.0
1704705400.212407,0.7414841651916504,1.7319153547286987,4.794626021379924,-87.62630731395164,-46.40727501200012,-0.004776906183177817,0.0,0.0,0.0
1704705400.228852,0.7414835691452026,1.731912612915039,4.794666075701213,-90.0732902316302,-47.69749429280482,-0.003529082917821886,0.0,0.0,0.0
1704705400.2452548,0.7415066361427307,1.731952428817749,4.794597649569011,-91.84018904169926,-48.62715632210422,-0.003631419288251159,0.0,0.0,0.0
1704705400.2620227,0.7414863109588623,1.7319036722183228,4.794636472060975,-93.30110970578136,-49.39669069194171,-0.0026004482585502034,0.0,0.0,0.0
1704705400.2787952,0.7414894700050354,1.7319467067718506,4.794639174138204,-94.25911718065916,-49.90058734236592,-0.002123663971198488,0.0,0.0,0.0
1704705400.295826,0.7414983510971069,1.7318412065505981,4.7945974111504315,-94.86742627503565,-50.21961574511047,-0.0021804505525440626,0.0,0.0,0.0
1704705400.3126297,0.7414971590042114,1.7319693565368652,4.794524892165955,-95.61827595401448,-50.612390031802505,-0.0025500343734882478,0.0,0.0,0.0
1704705400.3373008,0.7415136694908142,1.7319155931472778,4.794613504404521,-90.7387399470414,-48.02855540952611,-0.001490589638667447,0.0,0.0,0.0
1704705400.36265,0.741474986076355,1.731904149055481,4.79461914697756,-86.42146521150151,-45.742377032560256,-0.001194702093699346,0.0,0.0,0.0
1704705400.3792503,0.741514265537262,1.731909155845642,4.794714872037069,-88.81748524086271,-47.01175011271518,7.379338028872754e-06,0.0,0.0,0.0
1704705400.3956861,0.7415099740028381,1.7319086790084839,4.79464294909904,-91.05890885791086,-48.19744757139613,-0.0007532270571264429,0.0,0.0,0.0
1704705400.4124844,0.7414911985397339,1.7319369316101074,4.794758065536317,-92.52755157734248,-48.97644586550749,0.0005655885414094122,0.0,0.0,0.0
1704705400.4288435,0.7414922714233398,1.7318698167800903,4.794667704894837,-93.9974266515907,-49.75414295518125,-0.00047900855766974323,0.0,0.0,0.0
1704705400.445774,0.7415047287940979,1.7318614721298218,4.79468558628827,-94.71107998481547,-50.13218349732872,-0.00021429288601891128,0.0,0.0,0.0
1704705400.4624202,0.7414772510528564,1.7319631576538086,4.794595066701071,-95.67721682960779,-50.641047251396884,-0.0011188992879088947,0.0,0.0,0.0
1704705400.4787211,0.7415050268173218,1.731877088546753,4.794681374226705,-96.7333151423143,-51.20058015461299,-1.4472821848061576e-05,0.0,0.0,0.0
1704705400.496343,0.7414907813072205,1.73189115524292,4.794675254816508,-96.38646553915227,-51.017077532396115,-7.209305317567381e-05,0.0,0.0,0.0
1704705400.5208685,0.7413821220397949,1.731934666633606,4.795413239791688,-91.42725858640691,-48.402348050392355,0.005121690733347416,0.0,0.0,0.0
1704705400.5460298,0.7415048480033875,1.7319086790084839,4.795356098805563,-87.06929750990912,-46.10399867138637,0.0038447829838243516,0.0,0.0,0.0
1704705400.5706558,0.7415022253990173,1.731853723526001,4.795406365389323,-83.68959810354964,-44.32310747858881,0.003532853244555666,0.0,0.0,0.0
1704705400.5873141,0.7415059804916382,1.7319047451019287,4.794672433529989,-86.55774770951656,-45.83675623811743,-0.004711845615422022,0.0,0.0,0.0
1704705400.6120608,0.7414964437484741,1.7319215536117554,4.7946640888797205,-83.2426573607125,-44.07812046766985,-0.003956432392153732,0.0,0.0,0.0
1704705400.6288533,0.7414953112602234,1.7319319248199463,4.794604682917094,-85.9378624635327,-45.499964747997616,-0.0038821811251782998,0.0,0.0,0.0
1704705400.64553,0.7414926886558533,1.7318872213363647,4.794583384190695,-88.35494571887523,-46.77510494164162,-0.0034324933974001076,0.0,0.0,0.0
1704705400.6623597,0.7414911389350891,1.7318617105484009,4.794607226048605,-90.2286214631253,-47.763986166604404,-0.0025944147367877642,0.0,0.0,0.0
1704705400.678926,0.7414940595626831,1.7319819927215576,4.794630551332927,-91.90526009950466,-48.64905058861687,-0.0019046246394183977,0.0,0.0,0.0
1704705400.6961024,0.7415001392364502,1.7318867444992065,4.794676764800843,-93.22795828973146,-49.34871090685357,-0.0010984876555726547,0.0,0.0,0.0
1704705400.712227,0.7414852380752563,1.7319327592849731,4.794689798349833,-94.51294739747213,-50.028404725122115,-0.000772705166220442,0.0,0.0,0.0
1704705400.7287805,0.7413522601127625,1.7318744659423828,4.7952545324908655,-95.57033457579186,-50.59910140701416,0.005256959172118029,0.0,0.0,0.0
